AS ID,Country,Description
223,US,"TISW-AS - Sparta, Inc.,US"
224,NO,"UNINETT UNINETT, The Norwegian University & Research Network,NO"
225,US,"VIRGINIA-AS - University of Virginia,US"
226,US,"LOS-NETTOS-AS - Los Nettos,US"
227,US,"DNIC-AS-00227 - Headquarters, USAISC,US"
228,US,"DNIC-AS-00228 - DoD Network Information Center,US"
229,US,"MERIT-AS-6 - Merit Network Inc.,US"
230,US,"MERIT-AS-7 - Merit Network Inc.,US"
231,US,"MERIT-AS-8 - Merit Network Inc.,US"
232,US,"MERIT-AS-9 - Merit Network Inc.,US"
233,US,"MERIT-AS-10 - Merit Network Inc.,US"
234,US,"BLACKROSE-1 - Blackrose Society,US"
235,US,"MERIT-AS-12 - Merit Network Inc.,US"
236,US,"MERIT-AS-13 - Merit Network Inc.,US"
237,US,"MERIT-AS-14 - Merit Network Inc.,US"
238,US,"MERIT-AS-15 - Merit Network Inc.,US"
239,CA,"UTORONTO-AS - University of Toronto,CA"
240,US,"SAALC-HOSTNET-AS - 754th Electronic Systems Group,US"
241,US,"OCALC-HOSTNET-AS - 754th Electronic Systems Group,US"
242,US,"SSSD-AS - SUPSHIP,US"
243,US,"HARRIS-ATD-AS - Harris Government Systems Sector,US"
244,US,"DNIC-AS-00244 - DoD Network Information Center,US"
245,US,"PRC-AS - Planning Research Corporation,US"
246,US,"ASIFICS-GW-AS - 754th Electronic Systems Group,US"
247,US,"ROMENET-AS - Rome Air Development Center,US"
248,EU,"ICEVPN-AS ICEVPN-AS,EU"
249,EU,"PETERCOM-AS AS249,EU"
250,DE,"SACREDCHAO-AS AS250.net Foundation,DE"
251,GB,"KAIAGLOBAL-AS Kaia Global Networks Ltd.,GB"
252,US,"DNIC-AS-00252 - Headquarters, USAISC,US"
253,US,"NTTA-253 - NTT America, Inc.,US"
254,US,"TWG-NET-AS - The Wollongong Group,US"
255,US,"PAFB-GW - 754th Electronic Systems Group,US"
256,US,"DNIC-AS-00256 - Navy Network Information Center (NNIC),US"
257,US,"DNIC-AS-00257 - Navy Network Information Center (NNIC),US"
258,US,"BRAGGSRI-EGP-AS - Headquarters, USAISC,US"
259,US,"SCUBED-AS - SCUBED,US"
260,US,"XCONNECT24 - Xconnect24 Inc.,US"
261,EU,"FR-CINES-MONTPELLIER FR,EU"
262,US,"VERIO - Verio Inc.,US"
263,US,"NTTA-263 - NTT America, Inc.,US"
264,US,"SRINET-AS - SRI International,US"
265,US,"DSI-WR-16 - Advanced Info. Technology Servcies,US"
266,US,"DHC-USA-INC - DHC USA INCORPORATED,US"
267,US,"NETHER-NET - Nether.Net,US"
268,US,"USUHSNET-AS - Uniformed Services University of the Health Sciences,US"
269,US,"INCSYS-AS - Incremental Systems Corporation,US"
270,US,"PSCNI-AS - National Aeronautics and Space Administration,US"
271,CA,"BCNET-AS - BCnet,CA"
272,US,"CTNOSC-ASN-272 - Headquarters, USAISC,US"
273,US,"DNIC-AS-00273 - DoD Network Information Center,US"
274,US,"AINET-AS274 - Advanced Information Technology Services, LLC,US"
275,US,"NTTA-275 - NTT America, Inc.,US"
276,US,"OTS-AS-276 - University of Texas System,US"
277,US,"CSC-300-AS277 - Computer Sciences Corporation,US"
278,MX,"Universidad Nacional Autonoma de Mexico,MX"
279,US,"LVLT-279 - Level 3 Communications, Inc.,US"
280,US,"NTTA-280 - NTT America, Inc.,US"
281,US,"LVLT-281 - Level 3 Communications, Inc.,US"
282,US,"MERIT-AUX-AS - Merit Technology, Inc.,US"
283,US,"MPOWERLABS - MPower Labs, Inc.,US"
284,US,"UUNET-IPV6 - MCI Communications Services, Inc. d/b/a Verizon Business,US"
285,US,"DNIC-AS-00285 - Headquarters, USAISC,US"
286,NL,"KPN KPN International / KPN Eurorings,NL"
287,US,"DNIC-AS-00287 - Navy Network Information Center (NNIC),US"
288,DE,"European Space Agency c/o Christoph Kroell Darmstadt, D-64293,DE"
289,US,"DNIC-AS-00289 - Headquarters, USAISC,US"
290,US,"SHOWNET-AS - Interop Show Network,US"
291,US,"ESNET-EAST - ESnet,US"
292,US,"ESNET-WEST - ESnet,US"
293,US,"ESNET - ESnet,US"
294,EU,"FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique,EU"
295,US,"DNIC-AS-00295 - Navy Network Information Center (NNIC),US"
296,US,"ACFP-AS - 754th Electronic Systems Group,US"
297,US,"NISN-SIP-AS - National Aeronautics and Space Administration,US"
298,US,"RADC-LONEX-AS - 754th Electronic Systems Group,US"
299,US,"UCINET-AS - University of California, Irvine,US"
300,US,"DNIC-AS-00300 - DoD Network Information Center,US"
301,US,"C3PO-AS - 754th Electronic Systems Group,US"
302,US,"BCM-INFO-NET-AS - Baylor College of Medicine,US"
303,US,"DNIC-AS-00303 - DoD Network Information Center,US"
304,US,"SRIEXPRIGNET-AS - SRI International,US"
305,US,"DNIC-AS-00305 - Headquarters, USAISC,US"
306,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
307,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
308,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
309,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
310,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
311,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
312,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
313,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
314,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
315,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
316,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
317,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
318,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
319,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
320,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
321,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
322,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
323,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
324,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
325,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
326,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
327,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
328,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
329,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
330,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
331,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
332,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
333,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
334,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
335,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
336,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
337,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
338,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
339,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
340,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
341,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
342,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
343,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
344,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
345,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
346,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
347,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
348,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
